date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price
1991-01,53.7,0.5935483870967743,4.688172043010753,52.6,52.4,52.8,57.9,64.1,55.2
1991-02,55.2,1.8904761904761906,8.229761904761904,53.7,52.6,52.4,55.7,62.2,57.3
1991-03,57.3,2.6774193548387095,13.903225806451612,55.2,53.7,52.6,52.5,61.3,57.6
1991-04,57.6,2.772222222222222,20.278888888888886,57.3,55.2,53.7,52.8,62.8,57.2
1991-05,57.2,3.435483870967742,26.42043010752688,57.6,57.3,55.2,52.4,62.0,56.5
1991-06,56.5,2.71,29.99111111111111,57.2,57.6,57.3,52.6,60.7,55.7
1991-07,55.7,2.9774193548387093,30.52795698924731,56.5,57.2,57.6,53.7,57.9,58.3
1991-08,58.3,4.036559139784946,28.092473118279568,55.7,56.5,57.2,55.2,55.7,58.8
1991-09,58.8,1.2377777777777779,25.229999999999997,58.3,55.7,56.5,57.3,52.5,60.6
1991-10,60.6,1.8623655913978494,20.70215053763441,58.8,58.3,55.7,57.6,52.8,60.8
1991-11,60.8,1.5766666666666667,11.521111111111113,60.6,58.8,58.3,57.2,52.4,62.7
1991-12,62.7,1.156989247311828,7.905376344086022,60.8,60.6,58.8,56.5,52.6,63.9
1992-01,63.9,1.7086021505376345,7.364516129032258,62.7,60.8,60.6,55.7,53.7,66.5
1992-02,66.5,1.4137931034482758,8.426436781609196,63.9,62.7,60.8,58.3,55.2,65.9
1992-03,65.9,1.564516129032258,14.582795698924732,66.5,63.9,62.7,58.8,57.3,63.0
1992-04,63.0,1.6077777777777778,19.91,65.9,66.5,63.9,60.6,57.6,62.0
1992-05,62.0,1.4473118279569892,25.813978494623655,63.0,65.9,66.5,60.8,57.2,61.8
1992-06,61.8,1.6644444444444446,29.842222222222226,62.0,63.0,65.9,62.7,56.5,58.5
1992-07,58.5,4.91505376344086,28.089247311827958,61.8,62.0,63.0,63.9,55.7,56.1
1992-08,56.1,2.770967741935484,28.289247311827957,58.5,61.8,62.0,66.5,58.3,58.3
1992-09,58.3,3.4033333333333333,24.00888888888889,56.1,58.5,61.8,65.9,58.8,58.2
1992-10,58.2,1.3473118279569891,19.788172043010753,58.3,56.1,58.5,63.0,60.6,58.8
1992-11,58.8,2.3466666666666667,11.707777777777778,58.2,58.3,56.1,62.0,60.8,58.5
1992-12,58.5,0.6763440860215053,7.045161290322581,58.8,58.2,58.3,61.8,62.7,59.1
1993-01,59.1,1.2946236559139785,5.2172043010752684,58.5,58.8,58.2,58.5,63.9,58.1
1993-02,58.1,1.3011904761904762,7.324999999999999,59.1,58.5,58.8,56.1,66.5,57.8
1993-03,57.8,2.6849462365591394,11.726881720430107,58.1,59.1,58.5,58.3,65.9,57.3
1993-04,57.3,2.05,19.538888888888888,57.8,58.1,59.1,58.2,63.0,55.4
1993-05,55.4,2.3451612903225807,27.104301075268815,57.3,57.8,58.1,58.8,62.0,52.8
1993-06,52.8,4.42,28.442222222222224,55.4,57.3,57.8,58.5,61.8,55.8
1993-07,55.8,8.766666666666666,27.468817204301075,52.8,55.4,57.3,59.1,58.5,56.6
1993-08,56.6,2.489247311827957,28.320430107526885,55.8,52.8,55.4,58.1,56.1,58.4
1993-09,58.4,3.076666666666666,22.702222222222222,56.6,55.8,52.8,57.8,58.3,61.4
1993-10,61.4,0.5129032258064516,20.09032258064516,58.4,56.6,55.8,57.3,58.2,66.7
1993-11,66.7,0.6155555555555555,10.858888888888888,61.4,58.4,56.6,55.4,58.8,68.9
1993-12,68.9,0.724731182795699,9.109677419354838,66.7,61.4,58.4,52.8,58.5,68.6
1994-01,68.6,1.2967741935483872,5.049462365591398,68.9,66.7,61.4,55.8,59.1,66.8
1994-02,66.8,1.5595238095238095,5.789285714285715,68.6,68.9,66.7,56.6,58.1,64.1
1994-03,64.1,0.664516129032258,15.208602150537635,66.8,68.6,68.9,58.4,57.8,62.4
1994-04,62.4,2.267777777777778,21.202222222222222,64.1,66.8,68.6,61.4,57.3,62.0
1994-05,62.0,1.4612903225806453,27.016129032258064,62.4,64.1,66.8,66.7,55.4,60.1
1994-06,60.1,3.602222222222222,29.28777777777778,62.0,62.4,64.1,68.9,52.8,56.0
1994-07,56.0,4.544086021505376,28.16344086021505,60.1,62.0,62.4,68.6,55.8,57.5
1994-08,57.5,3.8688172043010756,27.817204301075268,56.0,60.1,62.0,66.8,56.6,60.2
1994-09,60.2,2.278888888888889,26.686666666666667,57.5,56.0,60.1,64.1,58.4,61.7
1994-10,61.7,1.2634408602150538,20.18709677419355,60.2,57.5,56.0,62.4,61.4,61.1
1994-11,61.1,1.0255555555555556,13.496666666666668,61.7,60.2,57.5,62.0,66.7,62.7
