date,price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1991-12,62.7,1.156989247311828,7.905376344086022,60.8,60.6,58.8,56.5,52.6,63.9,1.9138755980861173,0.0,0.0,0.30312702,0.0,0.49680203,0.35858867,0.0,0.28026602,0.0,0.0,0.20054789,0.0,0.22240473,0.0,0.20368104,0.0
1992-01,63.9,1.7086021505376345,7.364516129032258,62.7,60.8,60.6,55.7,53.7,66.5,4.068857589984353,0.0,0.0,0.19519345,0.0,0.36726704,0.27743667,0.0,0.2019007,0.0,0.0,0.1097682,0.0,0.2012563,0.0,0.2286604,0.0
1992-02,66.5,1.4137931034482758,8.426436781609196,63.9,62.7,60.8,58.3,55.2,65.9,-0.9022556390977358,0.0,0.0,0.11033003,0.0,0.27740407,0.21268766,0.0,0.1469779,0.0,0.0,0.045463488,0.0,0.18002586,0.0,0.23441991,0.0
1992-03,65.9,1.564516129032258,14.582795698924732,66.5,63.9,62.7,58.8,57.3,63.0,-4.40060698027315,0.0,0.0,0.061777376,0.0,0.24016416,0.17199242,0.0,0.12148443,0.0,0.0,0.015373248,0.0,0.16311342,0.0,0.22076452,0.0
1992-04,63.0,1.6077777777777778,19.91,65.9,66.5,63.9,60.6,57.6,62.0,-1.5873015873015872,0.0,0.0,0.05205542,0.0,0.25262734,0.15723921,0.0,0.1240729,0.0,0.0,0.018809456,0.0,0.15247816,0.0,0.19110449,0.0
1992-05,62.0,1.4473118279569892,25.813978494623655,63.0,65.9,66.5,60.8,57.2,61.8,-0.3225806451612949,0.0,0.0,0.089426726,0.0,0.32143062,0.17836341,0.0,0.16112277,0.0,0.0,0.064163625,0.0,0.15016788,0.0,0.14579798,0.0
1992-06,61.8,1.6644444444444446,29.842222222222226,62.0,63.0,65.9,62.7,56.5,58.5,-5.339805825242714,0.0,0.0,0.16488862,0.0,0.43173552,0.23034526,0.0,0.22301841,0.0,0.0,0.13920929,0.0,0.15836263,0.0,0.099043764,0.0
1992-07,58.5,4.91505376344086,28.089247311827958,61.8,62.0,63.0,63.9,55.7,56.1,-4.1025641025641,0.0,0.0,0.27156058,0.0,0.57196677,0.31227738,0.0,0.30560344,0.0,0.0,0.23741102,0.0,0.17796545,0.0,0.05956929,0.0
1992-08,56.1,2.770967741935484,28.289247311827957,58.5,61.8,62.0,66.5,58.3,58.3,3.9215686274509727,0.0,0.0,0.38372716,0.0,0.7030271,0.40744126,0.0,0.3916954,0.0,0.0,0.33622512,0.0,0.20080724,0.0,0.035738632,0.0
1992-09,58.3,3.4033333333333333,24.00888888888889,56.1,58.5,61.8,65.9,58.8,58.2,-0.1715265866209165,0.0,0.0,0.4500271,0.0,0.7622179,0.4646669,0.0,0.43183643,0.0,0.0,0.37972215,0.0,0.22161539,0.0,0.05181916,0.0
1992-10,58.2,1.3473118279569891,19.788172043010753,58.3,56.1,58.5,63.0,60.6,58.8,1.0309278350515367,0.0,0.0,0.47339734,0.0,0.7564882,0.49080008,0.0,0.43973923,0.0,0.0,0.38427475,0.0,0.23291108,0.0,0.08460225,0.0
1992-11,58.8,2.3466666666666667,11.707777777777778,58.2,58.3,56.1,62.0,60.8,58.5,-0.5102040816326483,0.0,0.0,0.43280616,0.0,0.6747096,0.46635494,0.0,0.39890766,0.0,0.0,0.33510238,0.0,0.23278141,0.0,0.13167433,0.0
1992-12,58.5,0.6763440860215053,7.045161290322581,58.8,58.2,58.3,61.8,62.7,59.1,1.025641025641028,0.0,0.0,0.34183908,0.0,0.5400958,0.39936942,0.0,0.32349813,0.0,0.0,0.24673344,0.0,0.2203433,0.0,0.17784609,0.0
1993-01,59.1,1.2946236559139785,5.2172043010752684,58.5,58.8,58.2,58.5,63.9,58.1,-1.6920473773265652,0.0,0.0,0.23668824,0.0,0.40635931,0.31930345,0.0,0.24496472,0.0,0.0,0.15530674,0.0,0.19987017,0.0,0.2072738,0.0
