date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1992-01,63.9,1.7086021505376343,7.364516129032258,62.7,60.8,60.6,55.7,53.7,66.5,4.068857589984353,0.0,0.0,0.0,0.0,0.7238166,0.0,0.0,0.6067064,0.0,0.46912247,0.0,0.0,0.0,1.0931463,0.102297746,0.0
1992-02,66.5,1.4137931034482758,8.426436781609196,63.9,62.7,60.8,58.3,55.2,65.9,-0.9022556390977358,0.0,0.0,0.0,0.0,0.31034654,0.0,0.0,0.44327262,0.0,0.58126915,0.0,0.0,0.0,1.1989034,0.14832303,0.07597183
1992-03,65.9,1.564516129032258,14.582795698924732,66.5,63.9,62.7,58.8,57.3,63.0,-4.40060698027315,0.0,0.0,0.0,0.0,0.1316758,0.0,0.0,0.37777993,0.0,0.62673765,0.0,0.0,0.0,1.2191793,0.16005021,0.14902675
1992-04,63.0,1.6077777777777778,19.91,65.9,66.5,63.9,60.6,57.6,62.0,-1.5873015873015872,0.0,0.0,0.0,0.0,0.103032716,0.0,0.0,0.37082162,0.019972268,0.62920654,0.0,0.0,0.0,1.1945953,0.14650273,0.15333506
1992-05,62.0,1.4473118279569892,25.81397849462365,63.0,65.9,66.5,60.8,57.2,61.8,-0.3225806451612949,0.0,0.0,0.0,0.0,0.19090128,0.0,0.0,0.40702954,0.04329327,0.5992718,0.0,0.0,0.0,1.1335253,0.10802441,0.10154892
1992-06,61.8,1.6644444444444446,29.842222222222222,62.0,63.0,65.9,62.7,56.5,58.5,-5.339805825242714,0.0,0.0,0.0,0.0,0.51072496,0.0,0.0,0.5226704,0.012262702,0.4934853,0.0,0.0,0.0,0.99138194,0.023803368,0.0
1992-07,58.5,4.91505376344086,28.08924731182796,61.8,62.0,63.0,63.9,55.7,56.1,-4.1025641025641,0.0,0.0,0.053564247,0.0,1.0049291,0.0,0.0,0.7097911,0.0,0.3396373,0.0,0.0,0.0,0.7914234,0.0,0.0
1992-08,56.1,2.770967741935484,28.28924731182796,58.5,61.8,62.0,66.5,58.3,58.3,3.9215686274509727,0.0,0.0,0.52066237,0.0,1.8118954,0.0,0.0,1.0258363,0.0,0.0961961,0.0,0.0,0.0,0.47997695,0.0,0.0
1992-09,58.3,3.4033333333333333,24.00888888888889,56.1,58.5,61.8,65.9,58.8,58.2,-0.1715265866209165,0.0,0.0,1.0597413,0.0,2.765573,0.0,0.0,1.3706547,0.0,0.0,0.0,0.0,0.0,0.079247884,0.0,0.0
1992-10,58.2,1.3473118279569891,19.788172043010757,58.3,56.1,58.5,63.0,60.6,58.8,1.0309278350515367,0.0,0.0,0.9603708,0.0,2.7007284,0.0,0.0,1.3883821,0.0,0.0,0.0,0.0,0.0,0.18738769,0.0,0.0
1992-11,58.8,2.3466666666666667,11.707777777777778,58.2,58.3,56.1,62.0,60.8,58.5,-0.5102040816326483,0.0,0.0,0.78739417,0.0,2.4582744,0.0,0.0,1.3099718,0.0,0.0,0.0,0.0,0.0,0.3461236,0.0,0.0
1992-12,58.5,0.6763440860215053,7.045161290322581,58.8,58.2,58.3,61.8,62.7,59.1,1.025641025641028,0.0,0.0,0.49123406,0.0,1.9762694,0.0,0.0,1.1186242,0.0,0.09025745,0.0,0.0,0.0,0.59495324,0.0,0.0
1993-01,59.1,1.2946236559139783,5.2172043010752684,58.5,58.8,58.2,58.5,63.9,58.1,-1.6920473773265652,0.0,0.0,0.111370936,0.0,1.3119934,0.0,0.0,0.8349604,0.0,0.27997613,0.0,0.0,0.0,0.8699925,0.041197427,0.0
1993-02,58.1,1.3011904761904762,7.324999999999999,59.1,58.5,58.8,56.1,66.5,57.8,-0.5163511187607647,0.0,0.0,0.0,0.0,0.83664894,0.0,0.0,0.62991494,0.0,0.40064368,0.0,0.0,0.0,1.0262436,0.094480686,0.0
