date,price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1991-12,79.2,5.116129032258065,15.474193548387097,82.6,83.0,80.6,81.3,84.4,80.2,1.2626262626262625,0.0,0.0,0.0,0.0,0.0,0.58137935,0.71634847,0.0,0.32236022,0.5993844,0.0,0.0,0.43333825,0.6102308,0.0,0.0
1992-01,80.2,4.774193548387097,15.595161290322581,79.2,82.6,83.0,83.6,80.5,81.6,1.7456359102244283,0.0,0.0,0.0,0.0,0.25512636,0.422673,0.9137829,0.083534315,0.27555954,0.43451703,0.0,0.0,0.32279608,0.9634086,0.0,0.0
1992-02,81.6,4.551724137931035,16.46034482758621,80.2,79.2,82.6,80.4,82.4,82.4,0.9803921568627592,0.0,0.0,0.0,0.0,0.43977398,0.30268845,0.98985606,0.1271461,0.23052879,0.2969315,0.0,0.0,0.2448355,1.1257626,0.0,0.0
1992-03,82.4,4.161290322580645,19.08225806451613,81.6,80.2,79.2,80.6,81.6,78.3,-4.975728155339816,0.0,0.0,0.0,0.0,0.6366337,0.16213886,1.0374122,0.16602111,0.1751699,0.14458257,0.0,0.0,0.15788373,1.2620145,0.0,0.0
1992-04,78.3,4.131666666666667,20.875,82.4,81.6,80.2,83.0,80.5,78.9,0.7662835249042255,0.0,0.0,0.0,0.0,0.6987146,0.10230499,1.000167,0.15743116,0.14871155,0.06770876,0.0,0.0,0.12749954,1.2358321,0.0,0.0
1992-05,78.9,1.0516129032258066,24.79516129032258,78.3,82.4,81.6,82.6,82.0,78.9,0.0,0.0,0.0,0.0,0.0,0.6661281,0.09938146,0.91580224,0.12660526,0.1393872,0.052746814,0.0,0.0,0.13272476,1.1189533,0.0,0.0
1992-06,78.9,0.36000000000000004,27.255,78.9,78.3,82.4,79.2,81.3,79.5,0.7604562737642513,0.0,0.0,0.0,0.0,0.4724696,0.1997867,0.7712702,0.061725564,0.16155596,0.14910594,0.0,0.0,0.2012685,0.8713386,0.0,0.0
1992-07,79.5,4.296774193548386,26.38064516129032,78.9,78.9,78.3,80.2,83.6,78.6,-1.1320754716981205,0.0,0.0,0.0,0.0,0.24857564,0.32518998,0.63814443,0.0056725256,0.1961151,0.28101176,0.0,0.0,0.2822373,0.63418245,0.0,0.0
1992-08,78.6,1.8096774193548388,26.549999999999997,79.5,78.9,78.9,81.6,80.4,78.1,-0.6361323155216285,0.0,0.0,0.0,0.0,0.029314086,0.4544395,0.5393264,0.0,0.24031748,0.42947936,0.0,0.0,0.35561714,0.44157025,0.0,0.0
1992-09,78.1,5.718333333333334,24.798333333333336,78.6,79.5,78.9,82.4,80.6,74.4,-4.737516005121624,0.0,0.0,0.0,0.0,0.0,0.5367717,0.5144175,0.0,0.27501434,0.52989817,0.0,0.0,0.3996146,0.37026146,0.0,0.0
1992-10,74.4,3.5629032258064517,22.320967741935487,78.1,78.6,79.5,78.3,83.0,76.2,2.4193548387096735,0.0,0.0,0.0,0.0,0.0,0.5646304,0.55783314,0.0,0.29303014,0.5769134,0.0,0.0,0.41097406,0.41578072,0.0,0.0
1992-11,76.2,5.536666666666666,15.801666666666668,74.4,78.1,78.6,78.9,82.6,73.7,-3.2808398950131235,0.0,0.0,0.0,0.0,0.009252375,0.51817745,0.6777625,0.0025048573,0.284671,0.5377137,0.0,0.0,0.38104233,0.60327995,0.0,0.0
1992-12,73.7,6.440322580645161,14.02741935483871,76.2,74.4,78.1,78.9,79.2,73.4,-0.4070556309362241,0.0,0.0,0.0,0.0,0.17156146,0.43491444,0.7947393,0.05193277,0.26008236,0.44340187,0.0,0.0,0.32758963,0.8031773,0.0,0.0
1993-01,73.4,4.075806451612903,12.879032258064516,73.7,76.2,74.4,79.5,80.2,72.9,-0.6811989100817438,0.0,0.0,0.0,0.0,0.3553097,0.3207905,0.88456637,0.09773296,0.2188778,0.31184605,0.0,0.0,0.25511876,0.9797693,0.0,0.0
1993-02,72.9,6.385714285714286,11.867857142857144,73.4,73.7,76.2,78.6,81.6,76.5,4.938271604938263,0.0,0.0,0.0,0.0,0.5433374,0.18811284,0.9339396,0.13281326,0.1676113,0.15707049,0.0,0.0,0.17757936,1.1082531,0.0,0.0
1993-03,76.5,3.0338709677419353,17.33225806451613,72.9,73.4,73.7,78.1,82.4,75.7,-1.0457516339869244,0.0,0.0,0.0,0.0,0.6639401,0.087544315,0.9200895,0.13892868,0.12446052,0.035630085,0.0,0.0,0.12419654,1.1330388,0.0,0.0
1993-04,75.7,3.546666666666667,20.715,76.5,72.9,73.4,74.4,78.3,76.0,0.396301188903563,0.0,0.0,0.0,0.0,0.7128698,0.031303525,0.86652106,0.1271527,0.09900431,0.0,0.0,0.0,0.10113374,1.0817784,0.0,0.0
1993-05,76.0,2.967741935483871,23.951612903225808,75.7,76.5,72.9,76.2,78.9,78.6,3.42105263157894,0.0,0.0,0.0,0.0,0.58964914,0.08171836,0.7319994,0.07306405,0.10226396,0.0,0.0,0.0,0.14648639,0.86652404,0.0,0.0
