date,price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1991-12,55.7,3.9951612903225806,25.432258064516127,53.6,56.4,57.5,56.9,60.3,51.5,-7.540394973070022,0.0,0.0,0.47743598,0.31066445,0.0,0.0,0.5443525,0.6434486,0.0,0.0,0.76055384,0.0,1.1236951,0.39490855,0.17190552,0.0
1992-01,51.5,3.7145161290322584,24.75483870967742,55.7,53.6,56.4,63.8,54.5,48.5,-5.825242718446602,0.0,0.0,0.4864197,0.28345445,0.0,0.0,0.516135,0.63885206,0.0,0.0,0.7547224,0.0,1.0936348,0.39905062,0.15161593,0.0
1992-02,48.5,4.817241379310344,25.279310344827586,51.5,55.7,53.6,58.5,52.7,50.9,4.948453608247419,0.0,0.0,0.48217845,0.2571919,0.0,0.0,0.48345444,0.6169363,0.0,0.0,0.73073334,0.0,1.0476685,0.39028308,0.1341615,0.0
1992-03,50.9,2.2435483870967743,29.529032258064515,48.5,51.5,55.7,57.5,56.6,58.5,14.931237721021615,0.48354715,0.0,0.37781966,0.0,0.0,0.0,0.21551138,0.4838273,0.060446143,0.0,0.57583934,0.06872825,0.53531915,0.3089234,0.0,0.0
1992-04,58.5,1.3133333333333332,31.76833333333333,50.9,48.5,51.5,56.4,52.7,59.3,1.3675213675213627,0.18621224,0.0,0.35998338,0.0,0.0,0.0,0.25018007,0.4267572,0.0,0.0,0.53552246,0.044564307,0.56995416,0.28903368,0.0,0.0
1992-05,59.3,0.8580645161290322,32.38709677419355,58.5,50.9,48.5,53.6,46.9,64.1,8.094435075885324,0.0,0.0,0.40911785,0.21753418,0.0,0.0,0.42104748,0.48752022,0.0,0.0,0.60287356,0.0,0.879386,0.3262996,0.114414185,0.0
1992-06,64.1,0.24333333333333332,32.73833333333333,59.3,58.5,50.9,55.7,56.9,63.8,-0.46801872074882556,0.0,0.0,0.4418243,0.28542486,0.0,0.0,0.4998321,0.5660009,0.0,0.0,0.68275917,0.0,1.0201182,0.36005542,0.15250047,0.0
1992-07,63.8,2.3741935483870966,29.049999999999997,64.1,59.3,58.5,51.5,63.8,60.8,-4.702194357366771,0.0,0.0,0.45639613,0.28641284,0.0,0.0,0.5136911,0.59230524,0.0,0.0,0.70774317,0.0,1.0492697,0.37428406,0.15172976,0.0
1992-08,60.8,4.967741935483871,28.453225806451613,63.8,64.1,59.3,48.5,58.5,57.6,-5.263157894736835,0.0,0.0,0.44669285,0.2534539,0.0,0.0,0.48483583,0.56315434,0.0,0.0,0.6782488,0.0,0.9938772,0.3640664,0.13472068,0.0
1992-09,57.6,7.028333333333333,27.904999999999998,60.8,63.8,64.1,50.9,57.5,53.9,-6.423611111111116,0.0,0.0,0.43801323,0.25715575,0.0,0.0,0.47933728,0.5497173,0.0,0.0,0.66683894,0.0,0.9846543,0.354068,0.14254034,0.0
1992-10,53.9,3.5016129032258063,28.508064516129032,57.6,60.8,63.8,58.5,56.4,53.0,-1.669758812615953,0.0,0.0,0.44309163,0.28176162,0.0,0.0,0.4979316,0.569882,0.0,0.0,0.68824464,0.0,1.0251731,0.35919175,0.15809312,0.0
1992-11,53.0,2.716666666666667,26.63,53.9,57.6,60.8,59.3,53.6,50.4,-4.905660377358493,0.0,0.0,0.44984642,0.28983477,0.0,0.0,0.5039129,0.5859883,0.0,0.0,0.7039209,0.0,1.0458937,0.36570224,0.16134645,0.0
1992-12,50.4,3.074193548387097,25.70967741935484,53.0,53.9,57.6,64.1,55.7,51.0,1.1904761904761934,0.0,0.0,0.45452172,0.26659516,0.0,0.0,0.48055652,0.5799178,0.0,0.0,0.69588536,0.0,1.0174009,0.3668202,0.14419214,0.0
1993-01,51.0,2.6500000000000004,25.070967741935487,50.4,53.0,53.9,63.8,51.5,53.0,3.9215686274509802,0.0,0.0,0.4528785,0.21622443,0.0,0.0,0.43663198,0.5573964,0.0,0.0,0.66917115,0.0,0.95031685,0.36028317,0.10980973,0.0
1993-02,53.0,4.7,26.226785714285715,51.0,50.4,53.0,60.8,48.5,65.7,23.9622641509434,0.40825573,0.0,0.34874848,0.0,0.0,0.0,0.20878462,0.42316598,0.0,0.0,0.53320163,0.044724263,0.49835786,0.27821028,0.0,0.0
1993-03,65.7,2.1177419354838714,28.43064516129032,53.0,51.0,50.4,57.6,50.9,69.0,5.022831050228306,1.0411491,0.0,0.213941,0.0,0.0,0.0,0.11109967,0.2745191,0.33087087,0.0,0.40367994,0.0,0.2321713,0.20019537,0.0,0.0
1993-04,69.0,0.975,31.646666666666665,65.7,53.0,51.0,53.9,58.5,73.2,6.086956521739135,0.0,0.0,0.3056777,0.110420115,0.0,0.0,0.29178387,0.3184578,0.0,0.0,0.4441009,0.0,0.59577477,0.24238867,0.050731335,0.0
1993-05,73.2,1.1274193548387097,32.483870967741936,69.0,65.7,53.0,53.0,59.3,64.3,-12.158469945355199,0.0,0.0,0.35835686,0.24642794,0.0,0.0,0.414963,0.4174518,0.0,0.0,0.53821224,0.0,0.8295164,0.2869982,0.14370993,0.0
1993-06,64.3,3.0866666666666664,30.145,73.2,69.0,65.7,50.4,64.1,59.9,-6.842923794712284,0.0,0.00880755,0.39959845,0.30493852,0.0,0.0,0.49233124,0.51046175,0.0,0.0,0.6305716,0.0,0.98155296,0.32445908,0.17513497,0.0
1993-07,59.9,3.6629032258064513,29.05322580645161,64.3,73.2,69.0,51.0,63.8,57.8,-3.5058430717863134,0.0,0.002329127,0.42175046,0.31548673,0.0,0.0,0.5172993,0.5558399,0.0,0.0,0.67456985,0.0,1.0389977,0.3443423,0.17922488,0.0
1993-08,57.8,2.448387096774194,29.03548387096774,59.9,64.3,73.2,53.0,60.8,59.0,2.0761245674740536,0.0,0.0,0.43250123,0.3101486,0.0,0.0,0.5188688,0.5718321,0.0,0.0,0.68935466,0.0,1.0497271,0.35364977,0.17350307,0.0
1993-09,59.0,5.6066666666666665,28.316666666666666,57.8,59.9,64.3,65.7,57.6,63.7,7.966101694915259,0.0,0.0,0.4190966,0.27932885,0.0,0.0,0.48281014,0.5319736,0.0,0.0,0.6495892,0.0,0.9830455,0.33807546,0.15795964,0.0
1993-10,63.7,1.2677419354838708,30.020967741935483,59.0,57.8,59.9,69.0,53.9,62.6,-1.7268445839874433,0.0,0.0,0.42532635,0.27927312,0.0,0.0,0.48753488,0.5427994,0.0,0.0,0.6608482,0.0,0.9931831,0.34458584,0.1561878,0.0
1993-11,62.6,2.0683333333333334,28.845000000000002,63.7,59.0,57.8,73.2,53.0,65.1,3.993610223642161,0.0,0.0,0.44013882,0.27799115,0.0,0.0,0.4951621,0.56616575,0.0,0.0,0.6835123,0.0,1.0157766,0.35763904,0.15270962,0.0
1993-12,65.1,3.6225806451612903,25.661290322580644,62.6,63.7,59.0,64.3,50.4,63.7,-2.150537634408589,0.0,0.0,0.4432685,0.261133,0.0,0.0,0.48003244,0.56433797,0.0,0.0,0.680716,0.0,0.99877346,0.35841003,0.14168738,0.0
1994-01,63.7,5.529032258064516,24.738709677419354,65.1,62.6,63.7,59.9,51.0,67.0,5.180533751962319,0.0,0.0,0.43726578,0.23123492,0.0,0.0,0.44733647,0.54326,0.0,0.0,0.6588956,0.0,0.95123833,0.34789318,0.12370792,0.0
1994-02,67.0,2.042857142857143,26.848214285714285,63.7,65.1,62.6,57.8,53.0,72.7,8.50746268656717,0.0,0.0,0.369686,0.03676412,0.0,0.0,0.30393574,0.4325644,0.0,0.0,0.55366087,0.029589804,0.65766454,0.2902339,0.0,0.0
