lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,date,target_next_price
0.0,0.0,0.0,0.0,0.7238166,0.0,0.0,0.6067064,0.0,0.46912247,0.0,0.0,0.0,1.0931463,0.102297746,0.0,1992-01,4.068857589984353
0.0,0.0,0.0,0.0,0.31034654,0.0,0.0,0.44327262,0.0,0.58126915,0.0,0.0,0.0,1.1989034,0.14832303,0.07597183,1992-02,-0.9022556390977358
0.0,0.0,0.0,0.0,0.1316758,0.0,0.0,0.37777993,0.0,0.62673765,0.0,0.0,0.0,1.2191793,0.16005021,0.14902675,1992-03,-4.40060698027315
0.0,0.0,0.0,0.0,0.103032716,0.0,0.0,0.37082162,0.019972268,0.62920654,0.0,0.0,0.0,1.1945953,0.14650273,0.15333506,1992-04,-1.5873015873015872
0.0,0.0,0.0,0.0,0.19090128,0.0,0.0,0.40702954,0.04329327,0.5992718,0.0,0.0,0.0,1.1335253,0.10802441,0.10154892,1992-05,-0.3225806451612949
0.0,0.0,0.0,0.0,0.51072496,0.0,0.0,0.5226704,0.012262702,0.4934853,0.0,0.0,0.0,0.99138194,0.023803368,0.0,1992-06,-5.339805825242714
0.0,0.0,0.053564247,0.0,1.0049291,0.0,0.0,0.7097911,0.0,0.3396373,0.0,0.0,0.0,0.7914234,0.0,0.0,1992-07,-4.1025641025641
0.0,0.0,0.52066237,0.0,1.8118954,0.0,0.0,1.0258363,0.0,0.0961961,0.0,0.0,0.0,0.47997695,0.0,0.0,1992-08,3.9215686274509727
0.0,0.0,1.0597413,0.0,2.765573,0.0,0.0,1.3706547,0.0,0.0,0.0,0.0,0.0,0.079247884,0.0,0.0,1992-09,-0.1715265866209165
0.0,0.0,0.9603708,0.0,2.7007284,0.0,0.0,1.3883821,0.0,0.0,0.0,0.0,0.0,0.18738769,0.0,0.0,1992-10,1.0309278350515367
0.0,0.0,0.78739417,0.0,2.4582744,0.0,0.0,1.3099718,0.0,0.0,0.0,0.0,0.0,0.3461236,0.0,0.0,1992-11,-0.5102040816326483
0.0,0.0,0.49123406,0.0,1.9762694,0.0,0.0,1.1186242,0.0,0.09025745,0.0,0.0,0.0,0.59495324,0.0,0.0,1992-12,1.025641025641028
0.0,0.0,0.111370936,0.0,1.3119934,0.0,0.0,0.8349604,0.0,0.27997613,0.0,0.0,0.0,0.8699925,0.041197427,0.0,1993-01,-1.6920473773265652
0.0,0.0,0.0,0.0,0.83664894,0.0,0.0,0.62991494,0.0,0.40064368,0.0,0.0,0.0,1.0262436,0.094480686,0.0,1993-02,-0.5163511187607647
0.0,0.0,0.0,0.0,0.47696427,0.0,0.0,0.48673615,0.0,0.4982257,0.0,0.0,0.0,1.1130589,0.12305141,0.0,1993-03,-0.8650519031141869
0.0,0.0,0.0,0.0,0.32037836,0.0,0.0,0.4351872,0.0,0.54795754,0.0,0.0,0.0,1.12644,0.120817475,0.04218758,1993-04,-3.315881326352528
0.0,0.0,0.0,0.0,0.30818668,0.0,0.0,0.4425487,0.020327095,0.55938095,0.0,0.0,0.0,1.0964284,0.095381774,0.04805985,1993-05,-4.6931407942238295
0.0,0.0,0.0,0.0,0.41801724,0.0,0.0,0.5015653,0.024981469,0.53965163,0.0,0.0,0.0,1.0420957,0.053189427,0.010361902,1993-06,5.681818181818183
0.0,0.0,0.0,0.0,0.6746506,0.0,0.0,0.62181425,0.0,0.48220327,0.0,0.0,0.0,0.96155864,0.0,0.0,1993-07,1.433691756272409
0.0,0.0,0.32065883,0.0,1.6214669,0.0,0.0,1.0036757,0.0,0.21631482,0.0,0.0,0.0,0.63878113,0.0,0.0,1993-08,3.1802120141342707
0.0,0.0,0.5404867,0.0,2.066147,0.0,0.0,1.1926267,0.0,0.102388754,0.0,0.0,0.0,0.49813882,0.0,0.0,1993-09,5.136986301369864
0.0,0.0,0.6107321,0.0,2.2443652,0.0,0.0,1.2654638,0.0,0.062799335,0.0,0.0,0.0,0.46998608,0.0,0.0,1993-10,8.631921824104241
0.0,0.0,0.265253,0.0,1.6764048,0.0,0.0,1.0308356,0.0,0.2515936,0.0,0.0,0.0,0.74067235,0.0,0.0,1993-11,3.2983508245877107
0.0,0.0,0.0,0.0,1.1600612,0.0,0.0,0.79612607,0.0,0.3846378,0.0,0.0,0.0,0.9501697,0.054258168,0.0,1993-12,-0.4354136429608292
0.0,0.0,0.0,0.0,0.54784054,0.0,0.0,0.5363915,0.0,0.5358204,0.0,0.0,0.0,1.1450478,0.12882653,0.0,1994-01,-2.6239067055393543
0.0,0.0,0.0,0.0,0.1865271,0.0,0.0,0.39462823,0.0,0.62513965,0.0,0.0,0.0,1.2251056,0.16613156,0.13524693,1994-02,-4.041916167664675
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225232,0.0,0.67857736,0.0,0.0,0.0,1.2464577,0.17773926,0.23108795,1994-03,-2.6521060842433632
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3087715,0.034343395,0.68778926,0.0,0.0,0.0,1.2270098,0.16854188,0.25023267,1994-04,-0.6410256410256387
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311542,0.06616232,0.6837708,0.0,0.0,0.0,1.1941476,0.14563,0.23797503,1994-05,-3.064516129032256
0.0,0.0,0.0,0.0,0.08158323,0.0,0.0,0.39290404,0.08039118,0.6468071,0.0,0.0,0.0,1.1287687,0.09987333,0.16853118,1994-06,-6.821963394342764
0.0,0.0,0.0,0.0,0.559663,0.0,0.0,0.5731712,0.023032237,0.50287837,0.0,0.0,0.0,0.9515446,0.0,0.0,1994-07,2.6785714285714284
0.0,0.0,1.0088127,0.0,2.5575547,0.0,0.0,1.2577659,0.0,0.0,0.0,0.0,0.0,0.070081934,0.0,0.0,1994-08,4.695652173913048
0.0,0.0,1.2456393,0.0,3.0660603,0.0,0.0,1.4558219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-09,2.491694352159469
0.0,0.0,1.3154554,0.0,3.2867942,0.0,0.0,1.5492808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-10,-0.9724473257698564
0.0,0.0,0.9609327,0.0,2.7729487,0.0,0.0,1.4206942,0.0,0.0,0.0,0.0,0.0,0.21232983,0.0,0.0,1994-11,2.6186579378068764
0.0,0.0,0.5052693,0.0,2.0147712,0.0,0.0,1.1348909,0.0,0.08824921,0.0,0.0,0.0,0.58960223,0.0,0.0,1994-12,0.3189792663476806
0.0,0.0,0.04269455,0.0,1.2079263,0.0,0.0,0.79466814,0.0,0.31904066,0.0,0.0,0.0,0.9190631,0.058977596,0.0,1995-01,-0.6359300476947514
0.0,0.0,0.0,0.0,0.6546325,0.0,0.0,0.5619195,0.0,0.46113646,0.0,0.0,0.0,1.0956762,0.11920176,0.0,1995-02,-0.4799999999999954
0.0,0.0,0.0,0.0,0.34779954,0.0,0.0,0.44459242,0.0,0.54368377,0.0,0.0,0.0,1.162818,0.14220297,0.037685134,1995-03,0.8038585209003215
0.0,0.0,0.0,0.0,0.15085122,0.0,0.0,0.38339904,0.009896968,0.60978216,0.0,0.0,0.0,1.1818608,0.14360973,0.12601954,1995-04,3.508771929824566
0.0,0.0,0.0,0.0,0.20343398,0.0,0.0,0.41343334,0.037723105,0.5977678,0.0,0.0,0.0,1.1349261,0.1107577,0.10043868,1995-05,6.471494607087809
0.0,0.0,0.0,0.0,0.31585407,0.0,0.0,0.47241122,0.044132214,0.5764059,0.0,0.0,0.0,1.0792143,0.06799526,0.059861563,1995-06,7.091172214182354
